id,temperature,humidity,timestamp
1,24.6,52.0,2023-08-30 20:18:11.366348
2,24.6,52.0,2023-08-30 20:18:21.412215
3,24.5,52.0,2023-08-30 20:18:31.457612
4,24.5,52.0,2023-08-30 20:18:41.503369
5,24.5,52.0,2023-08-30 20:18:51.549046
6,24.4,52.0,2023-08-30 20:19:01.594507
7,24.4,52.0,2023-08-30 20:19:11.639896
8,24.4,52.0,2023-08-30 20:19:21.685641
9,24.4,52.0,2023-08-30 20:19:31.731207
10,24.3,52.0,2023-08-30 20:19:41.776806
11,24.4,52.0,2023-08-30 20:19:51.822310
12,24.4,52.0,2023-08-30 20:20:01.867850
13,24.5,52.0,2023-08-30 20:20:11.913473
14,24.5,52.0,2023-08-30 20:20:21.959024
15,24.5,52.0,2023-08-30 20:20:32.004661
16,24.6,52.0,2023-08-30 20:20:42.050273
17,24.6,52.0,2023-08-30 20:20:52.095807
18,24.6,52.0,2023-08-30 20:21:02.141402
19,24.6,52.0,2023-08-30 20:21:12.186958
20,24.7,52.0,2023-08-30 20:21:22.232457
21,24.7,52.0,2023-08-30 20:21:32.278023
22,24.7,52.0,2023-08-30 20:21:42.323640
23,24.8,52.0,2023-08-30 20:21:52.369164
24,24.8,52.0,2023-08-30 20:22:02.414668
25,24.8,52.0,2023-08-30 20:22:12.460385
26,24.8,52.0,2023-08-30 20:22:22.505845
27,24.9,52.0,2023-08-30 20:22:32.551384
28,24.9,52.0,2023-08-30 20:22:42.596809
29,24.9,52.0,2023-08-30 20:22:52.642445
30,24.9,52.0,2023-08-30 20:23:02.687966
31,24.9,52.0,2023-08-30 20:23:12.733502
32,24.9,52.0,2023-08-30 20:23:22.779125
33,25.0,52.0,2023-08-30 20:23:32.824674
34,25.0,52.0,2023-08-30 20:23:42.870223
35,25.1,52.0,2023-08-30 20:23:52.915685
36,25.1,52.0,2023-08-30 20:24:02.961115
37,25.1,52.0,2023-08-30 20:24:13.006757
38,25.1,52.0,2023-08-30 20:24:23.052275
39,25.1,52.0,2023-08-30 20:24:33.097916
40,25.1,52.0,2023-08-30 20:24:43.143564
41,25.2,52.0,2023-08-30 20:24:53.188999
42,25.1,52.0,2023-08-30 20:25:03.234721
43,25.1,52.0,2023-08-30 20:25:13.280246
44,25.2,52.0,2023-08-30 20:25:23.325646
45,25.2,52.0,2023-08-30 20:25:33.371099
46,25.2,52.0,2023-08-30 20:25:43.416561
47,25.3,52.0,2023-08-30 20:25:53.462128
48,25.3,52.0,2023-08-30 20:26:03.507687
49,25.2,52.0,2023-08-30 20:26:13.553149
50,25.3,52.0,2023-08-30 20:26:23.598813
51,25.2,52.0,2023-08-30 20:26:33.644326
52,25.3,52.0,2023-08-30 20:26:43.689823
53,25.3,52.0,2023-08-30 20:26:53.735274
54,25.3,52.0,2023-08-30 20:27:03.780728
55,25.2,52.0,2023-08-30 20:27:13.826400
56,25.3,52.0,2023-08-30 20:27:23.871871
57,25.3,52.0,2023-08-30 20:27:33.917284
58,25.3,52.0,2023-08-30 20:27:43.962780
59,25.3,52.0,2023-08-30 20:27:54.008341
60,25.3,52.0,2023-08-30 20:28:04.053817
61,25.3,52.0,2023-08-30 20:28:14.099236
62,25.3,52.0,2023-08-30 20:28:24.144741
63,25.3,52.0,2023-08-30 20:28:34.190205
64,25.3,52.0,2023-08-30 20:28:44.235662
65,25.3,52.0,2023-08-30 20:28:54.281203
66,25.3,52.0,2023-08-30 20:29:04.326682
67,25.3,52.0,2023-08-30 20:29:14.372157
68,25.4,52.0,2023-08-30 20:29:24.417620
69,25.3,52.0,2023-08-30 20:29:34.463118
70,25.4,52.0,2023-08-30 20:29:44.508518
71,25.3,52.0,2023-08-30 20:29:54.554156
72,25.3,52.0,2023-08-30 20:30:04.599593
73,25.4,52.0,2023-08-30 20:30:14.645068
74,25.4,52.0,2023-08-30 20:30:24.690615
75,25.4,52.0,2023-08-30 20:30:34.736031
76,25.3,52.0,2023-08-30 20:30:44.781843
77,25.4,52.0,2023-08-30 20:30:54.827290
78,25.3,52.0,2023-08-30 20:31:04.872974
79,25.4,52.0,2023-08-30 20:31:14.918569
